trueR , trueI
0.500000 , -0.000000
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
1024 , 1024 , 0.439453 , -0.025391, 0.003666, 0.000645
2048 , 2048 , 0.463867 , -0.022461, 0.001306, 0.000504
3072 , 3072 , 0.505859 , -0.030599, 0.000034, 0.000936
4096 , 4096 , 0.515625 , -0.023438, 0.000244, 0.000549
5120 , 5120 , 0.514062 , -0.007031, 0.000198, 0.000049
6144 , 6144 , 0.510742 , -0.005534, 0.000115, 0.000031
7168 , 7168 , 0.495815 , 0.007533, 0.000018, 0.000057
8192 , 8192 , 0.494385 , 0.006104, 0.000032, 0.000037
9216 , 9216 , 0.498264 , 0.003038, 0.000003, 0.000009
10240 , 10240 , 0.503516 , 0.004687, 0.000012, 0.000022
11264 , 11264 , 0.499645 , 0.008878, 0.000000, 0.000079
12288 , 12288 , 0.494466 , 0.008789, 0.000031, 0.000077
13312 , 13312 , 0.497446 , 0.011268, 0.000007, 0.000127
14336 , 14336 , 0.502790 , 0.006138, 0.000008, 0.000038
15360 , 15360 , 0.503646 , 0.005208, 0.000013, 0.000027
16384 , 16384 , 0.501465 , 0.002441, 0.000002, 0.000006
17408 , 17408 , 0.501379 , -0.002528, 0.000002, 0.000006
18432 , 18432 , 0.501194 , -0.002930, 0.000001, 0.000009
19456 , 19456 , 0.499383 , -0.002262, 0.000000, 0.000005
20480 , 20480 , 0.499219 , -0.001563, 0.000001, 0.000002
21504 , 21504 , 0.500744 , -0.004650, 0.000001, 0.000022
22528 , 22528 , 0.502486 , -0.004261, 0.000006, 0.000018
23552 , 23552 , 0.500594 , -0.007048, 0.000000, 0.000050
24576 , 24576 , 0.500651 , -0.007812, 0.000000, 0.000061
25600 , 25600 , 0.501797 , -0.005078, 0.000003, 0.000026
26624 , 26624 , 0.502930 , -0.007437, 0.000009, 0.000055
27648 , 27648 , 0.502604 , -0.009115, 0.000007, 0.000083
28672 , 28672 , 0.502720 , -0.010812, 0.000007, 0.000117
29696 , 29696 , 0.504243 , -0.009900, 0.000018, 0.000098
30720 , 30720 , 0.501953 , -0.009766, 0.000004, 0.000095
31744 , 31744 , 0.501827 , -0.011152, 0.000003, 0.000124
32768 , 32768 , 0.502502 , -0.011047, 0.000006, 0.000122
33792 , 33792 , 0.500118 , -0.010772, 0.000000, 0.000116
34816 , 34816 , 0.499943 , -0.011432, 0.000000, 0.000131
35840 , 35840 , 0.500614 , -0.010435, 0.000000, 0.000109
36864 , 36864 , 0.499891 , -0.008789, 0.000000, 0.000077
37888 , 37888 , 0.499842 , -0.007971, 0.000000, 0.000064
38912 , 38912 , 0.498869 , -0.008018, 0.000001, 0.000064
39936 , 39936 , 0.499499 , -0.006811, 0.000000, 0.000046
40960 , 40960 , 0.500195 , -0.005664, 0.000000, 0.000032
41984 , 41984 , 0.498523 , -0.006240, 0.000002, 0.000039
43008 , 43008 , 0.496001 , -0.007626, 0.000016, 0.000058
44032 , 44032 , 0.495185 , -0.006813, 0.000023, 0.000046
45056 , 45056 , 0.497292 , -0.006436, 0.000007, 0.000041
46080 , 46080 , 0.498568 , -0.005339, 0.000002, 0.000029
47104 , 47104 , 0.500085 , -0.004671, 0.000000, 0.000022
48128 , 48128 , 0.500748 , -0.004737, 0.000001, 0.000022
49152 , 49152 , 0.500163 , -0.003662, 0.000000, 0.000013
50176 , 50176 , 0.499003 , -0.004424, 0.000001, 0.000020
51200 , 51200 , 0.498125 , -0.003437, 0.000004, 0.000012
52224 , 52224 , 0.497089 , -0.002068, 0.000008, 0.000004
53248 , 53248 , 0.497408 , -0.001690, 0.000007, 0.000003
54272 , 54272 , 0.497310 , -0.000995, 0.000007, 0.000001
55296 , 55296 , 0.497504 , 0.000109, 0.000006, 0.000000
56320 , 56320 , 0.495987 , 0.001101, 0.000016, 0.000001
57344 , 57344 , 0.495082 , 0.000663, 0.000024, 0.000000
58368 , 58368 , 0.496642 , 0.000480, 0.000011, 0.000000
59392 , 59392 , 0.497575 , 0.000337, 0.000006, 0.000000
60416 , 60416 , 0.496656 , 0.001291, 0.000011, 0.000002
61440 , 61440 , 0.496680 , 0.000911, 0.000011, 0.000001
62464 , 62464 , 0.495934 , 0.001121, 0.000017, 0.000001
63488 , 63488 , 0.495716 , 0.001197, 0.000018, 0.000001
64512 , 64512 , 0.494792 , -0.000186, 0.000027, 0.000000
65536 , 65536 , 0.495575 , -0.000885, 0.000020, 0.000001
