trueR , trueI
1.000000 , 0.000000
n_samples , time, n_paths , estimateR , estimateI, varianceR, varianceI
262144 , 9599093 , 11272192 , 1.750000 , -0.000000, 0.562500, 0.000000
524288 , 9632785 , 22544384 , 1.375000 , -0.000000, 0.140625, 0.000000
786432 , 9658681 , 33816576 , 1.000000 , -0.000000, 0.000000, 0.000000
1048576 , 9712976 , 45088768 , 1.062500 , -0.000000, 0.003906, 0.000000
1310720 , 9719669 , 56360960 , 1.100000 , -0.000000, 0.010000, 0.000000
1572864 , 9745417 , 67633152 , 1.000000 , -0.000000, 0.000000, 0.000000
1835008 , 9756881 , 78905344 , 1.035714 , -0.000000, 0.001276, 0.000000
2097152 , 9833575 , 90177536 , 0.906250 , -0.000000, 0.008789, 0.000000
2359296 , 19131492 , 101449728 , 0.861111 , -0.000000, 0.019290, 0.000000
2621440 , 19165613 , 112721920 , 0.850000 , -0.000000, 0.022500, 0.000000
2883584 , 19193151 , 123994112 , 0.818182 , -0.000000, 0.033058, 0.000000
3145728 , 19281834 , 135266304 , 0.812500 , -0.000000, 0.035156, 0.000000
3407872 , 19360228 , 146538496 , 0.788461 , -0.000000, 0.044749, 0.000000
3670016 , 19433453 , 157810688 , 0.767857 , -0.000000, 0.053890, 0.000000
3932160 , 19473518 , 169082880 , 0.800000 , -0.000000, 0.040000, 0.000000
4194304 , 19580051 , 180355072 , 0.765625 , -0.000000, 0.054932, 0.000000
4456448 , 28712300 , 191627264 , 0.794118 , -0.000000, 0.042388, 0.000000
4718592 , 28774021 , 202899456 , 0.763889 , -0.000000, 0.055748, 0.000000
4980736 , 28784311 , 214171648 , 0.789474 , -0.000000, 0.044321, 0.000000
5242880 , 28873911 , 225443840 , 0.775000 , -0.000000, 0.050625, 0.000000
5505024 , 29068509 , 236716032 , 0.761905 , -0.000000, 0.056689, 0.000000
5767168 , 29155492 , 247988224 , 0.772727 , -0.000000, 0.051653, 0.000000
6029312 , 29182184 , 259260416 , 0.760869 , -0.000000, 0.057183, 0.000000
6291456 , 29351903 , 270532608 , 0.770833 , -0.000000, 0.052517, 0.000000
6553600 , 38299852 , 281804800 , 0.760000 , -0.000000, 0.057600, 0.000000
6815744 , 38321151 , 293076992 , 0.759615 , -0.000000, 0.057785, 0.000000
7077888 , 38334702 , 304349184 , 0.750000 , -0.000000, 0.062500, 0.000000
7340032 , 38475484 , 315621376 , 0.758928 , -0.000000, 0.058115, 0.000000
7602176 , 38758942 , 326893568 , 0.775862 , -0.000000, 0.050238, 0.000000
7864320 , 38840046 , 338165760 , 0.808333 , -0.000000, 0.036736, 0.000000
8126464 , 38947851 , 349437952 , 0.830645 , -0.000000, 0.028681, 0.000000
8388608 , 39241414 , 360710144 , 0.812500 , -0.000000, 0.035156, 0.000000
8650752 , 47897864 , 371982336 , 0.833333 , -0.000000, 0.027778, 0.000000
8912896 , 47899204 , 383254528 , 0.838235 , -0.000000, 0.026168, 0.000000
9175040 , 47978902 , 394526720 , 0.857143 , -0.000000, 0.020408, 0.000000
9437184 , 48134585 , 405798912 , 0.854167 , -0.000000, 0.021267, 0.000000
9699328 , 48458612 , 417071104 , 0.871622 , -0.000000, 0.016481, 0.000000
9961472 , 48540383 , 428343296 , 0.875000 , -0.000000, 0.015625, 0.000000
10223616 , 48661085 , 439615488 , 0.884615 , -0.000000, 0.013314, 0.000000
10485760 , 49013589 , 450887680 , 0.900000 , -0.000000, 0.010000, 0.000000
10747904 , 57472202 , 462159872 , 0.902439 , -0.000000, 0.009518, 0.000000
11010048 , 57477087 , 473432064 , 0.898809 , -0.000000, 0.010240, 0.000000
11272192 , 57576864 , 484704256 , 0.906977 , -0.000000, 0.008653, 0.000000
11534336 , 57689188 , 495976448 , 0.909091 , -0.000000, 0.008264, 0.000000
11796480 , 58116876 , 507248640 , 0.894444 , -0.000000, 0.011142, 0.000000
12058624 , 58225060 , 518520832 , 0.885869 , -0.000000, 0.013026, 0.000000
12320768 , 58390590 , 529793024 , 0.914894 , -0.000000, 0.007243, 0.000000
12582912 , 58808055 , 541065216 , 0.911458 , -0.000000, 0.007840, 0.000000
12845056 , 67066043 , 552337408 , 0.903061 , -0.000000, 0.009397, 0.000000
13107200 , 67092090 , 563609600 , 0.885000 , -0.000000, 0.013225, 0.000000
13369344 , 67170047 , 574881792 , 0.897059 , -0.000000, 0.010597, 0.000000
13631488 , 67278794 , 586153984 , 0.884615 , -0.000000, 0.013314, 0.000000
13893632 , 67871506 , 597426176 , 0.891509 , -0.000000, 0.011770, 0.000000
14155776 , 67980583 , 608698368 , 0.879630 , -0.000000, 0.014489, 0.000000
14417920 , 68149524 , 619970560 , 0.877273 , -0.000000, 0.015062, 0.000000
14680064 , 68591899 , 631242752 , 0.879464 , -0.000000, 0.014529, 0.000000
14942208 , 76661220 , 642514944 , 0.872807 , -0.000000, 0.016178, 0.000000
15204352 , 76711770 , 653787136 , 0.879310 , -0.000000, 0.014566, 0.000000
15466496 , 76810880 , 665059328 , 0.889830 , -0.000000, 0.012137, 0.000000
15728640 , 76855863 , 676331520 , 0.891667 , -0.000000, 0.011736, 0.000000
15990784 , 77456555 , 687603712 , 0.901639 , -0.000000, 0.009675, 0.000000
16252928 , 77552814 , 698875904 , 0.911290 , -0.000000, 0.007869, 0.000000
16515072 , 77675390 , 710148096 , 0.900794 , -0.000000, 0.009842, 0.000000
16777216 , 78074023 , 721420288 , 0.910156 , -0.000000, 0.008072, 0.000000
