trueR , trueI
1.000000 , 0.000000
n_samples , time, n_paths , estimateR , estimateI, varianceR, varianceI
524288 , 86477638 , 22544384 , 1.250000 , 0.000000, 0.062500, 0.000000
1048576 , 86486354 , 45088768 , 1.156250 , 0.000000, 0.024414, 0.000000
1572864 , 86502009 , 67633152 , 1.000000 , 0.000000, 0.000000, 0.000000
2097152 , 86536874 , 90177536 , 1.031250 , 0.000000, 0.000977, 0.000000
2621440 , 86577982 , 112721920 , 1.050000 , 0.000000, 0.002500, 0.000000
3145728 , 86819547 , 135266304 , 1.052083 , 0.000000, 0.002713, 0.000000
3670016 , 86819947 , 157810688 , 1.089286 , 0.000000, 0.007972, 0.000000
4194304 , 86908353 , 180355072 , 1.132812 , 0.000000, 0.017639, 0.000000
4718592 , 172679525 , 202899456 , 1.125000 , 0.000000, 0.015625, 0.000000
5242880 , 172698291 , 225443840 , 1.093750 , 0.000000, 0.008789, 0.000000
5767168 , 172717593 , 247988224 , 1.102273 , 0.000000, 0.010460, 0.000000
6291456 , 172819315 , 270532608 , 1.104167 , 0.000000, 0.010851, 0.000000
6815744 , 173072656 , 293076992 , 1.062500 , 0.000000, 0.003906, 0.000000
7340032 , 173317171 , 315621376 , 1.035714 , 0.000000, 0.001276, 0.000000
7864320 , 173440630 , 338165760 , 1.054167 , 0.000000, 0.002934, 0.000000
8388608 , 173496373 , 360710144 , 1.039062 , 0.000000, 0.001526, 0.000000
8912896 , 259176508 , 383254528 , 1.025735 , 0.000000, 0.000662, 0.000000
9437184 , 259247046 , 405798912 , 1.024305 , 0.000000, 0.000591, 0.000000
9961472 , 259281830 , 428343296 , 1.052631 , 0.000000, 0.002770, 0.000000
10485760 , 259316937 , 450887680 , 1.040625 , 0.000000, 0.001650, 0.000000
11010048 , 259928603 , 473432064 , 1.026786 , 0.000000, 0.000717, 0.000000
11534336 , 260072846 , 495976448 , 1.039773 , 0.000000, 0.001582, 0.000000
12058624 , 260176295 , 518520832 , 1.051630 , -0.000000, 0.002666, 0.000000
12582912 , 260561514 , 541065216 , 1.041667 , 0.000000, 0.001736, 0.000000
13107200 , 345511766 , 563609600 , 1.052500 , 0.000000, 0.002756, 0.000000
13631488 , 345558531 , 586153984 , 1.043269 , 0.000000, 0.001872, 0.000000
14155776 , 345573478 , 608698368 , 1.043981 , 0.000000, 0.001934, 0.000000
14680064 , 345636150 , 631242752 , 1.040178 , 0.000000, 0.001614, 0.000000
15204352 , 346508467 , 653787136 , 1.032327 , 0.000000, 0.001045, 0.000000
15728640 , 346744854 , 676331520 , 1.022917 , 0.000000, 0.000525, 0.000000
16252928 , 346912803 , 698875904 , 1.020161 , 0.000000, 0.000406, 0.000000
16777216 , 347348435 , 721420288 , 1.019531 , -0.000000, 0.000381, 0.000000
17301504 , 432118984 , 743964672 , 1.005682 , -0.000000, 0.000032, 0.000000
17825792 , 432235800 , 766509056 , 1.000000 , 0.000000, 0.000000, 0.000000
18350080 , 432252020 , 789053440 , 1.000000 , 0.000000, 0.000000, 0.000000
18874368 , 432428782 , 811597824 , 1.001736 , 0.000000, 0.000003, 0.000000
19398656 , 433624410 , 834142208 , 1.006757 , 0.000000, 0.000046, 0.000000
19922944 , 433629060 , 856686592 , 0.995066 , 0.000000, 0.000024, 0.000000
20447232 , 433794537 , 879230976 , 0.998397 , -0.000000, 0.000003, 0.000000
20971520 , 434387901 , 901775360 , 1.001562 , -0.000000, 0.000002, 0.000000
21495808 , 518559324 , 924319744 , 0.993902 , -0.000000, 0.000037, 0.000000
22020096 , 518724054 , 946864128 , 0.998512 , -0.000000, 0.000002, 0.000000
22544384 , 518784019 , 969408512 , 1.000000 , -0.000000, 0.000000, 0.000000
23068672 , 518999414 , 991952896 , 1.000000 , -0.000000, 0.000000, 0.000000
23592960 , 520424116 , 1014497280 , 0.995833 , -0.000000, 0.000017, 0.000000
24117248 , 520428346 , 1037041664 , 0.989130 , 0.000000, 0.000118, 0.000000
24641536 , 520666065 , 1059586048 , 0.989362 , 0.000000, 0.000113, 0.000000
25165824 , 521346730 , 1082130432 , 0.998698 , 0.000000, 0.000002, 0.000000
25690112 , 605158413 , 1104674816 , 1.012755 , 0.000000, 0.000163, 0.000000
26214400 , 605199589 , 1127219200 , 1.013750 , -0.000000, 0.000189, 0.000000
26738688 , 605291204 , 1149763584 , 1.011029 , -0.000000, 0.000122, 0.000000
27262976 , 605525833 , 1172307968 , 1.012019 , -0.000000, 0.000144, 0.000000
27787264 , 607214252 , 1194852352 , 1.008255 , -0.000000, 0.000068, 0.000000
28311552 , 607319133 , 1217396736 , 1.011574 , -0.000000, 0.000134, 0.000000
28835840 , 607581686 , 1239941120 , 1.002273 , -0.000000, 0.000005, 0.000000
29360128 , 608335871 , 1262485504 , 0.995536 , -0.000000, 0.000020, 0.000000
29884416 , 691378130 , 1285029888 , 0.993421 , -0.000000, 0.000043, 0.000000
30408704 , 691434300 , 1307574272 , 0.995690 , -0.000000, 0.000019, 0.000000
30932992 , 691578588 , 1330118656 , 0.993644 , -0.000000, 0.000040, 0.000000
31457280 , 691682656 , 1352663040 , 0.995833 , -0.000000, 0.000017, 0.000000
31981568 , 693479145 , 1375207424 , 0.993852 , -0.000000, 0.000038, 0.000000
32505856 , 693504499 , 1397751808 , 0.991935 , -0.000000, 0.000065, 0.000000
33030144 , 693628613 , 1420296192 , 1.000000 , -0.000000, 0.000000, 0.000000
33554432 , 694515455 , 1442840576 , 0.999023 , -0.000000, 0.000001, 0.000000
