trueR , trueI
1.000000 , 0.000000
n_samples , time, n_paths , estimateR , estimateI, varianceR, varianceI
524288 , 42289877 , 22544384 , 1.187500 , -0.000000, 0.035156, 0.000000
1048576 , 42337971 , 45088768 , 1.187500 , -0.000000, 0.035156, 0.000000
1572864 , 42367048 , 67633152 , 1.104167 , -0.000000, 0.010851, 0.000000
2097152 , 42405294 , 90177536 , 1.062500 , -0.000000, 0.003906, 0.000000
2621440 , 42496948 , 112721920 , 1.000000 , 0.000000, 0.000000, 0.000000
3145728 , 42499902 , 135266304 , 1.000000 , -0.000000, 0.000000, 0.000000
3670016 , 42674906 , 157810688 , 0.973214 , 0.000000, 0.000717, 0.000000
4194304 , 42742889 , 180355072 , 0.929687 , 0.000000, 0.004944, 0.000000
4718592 , 84578824 , 202899456 , 0.902778 , 0.000000, 0.009452, 0.000000
5242880 , 84646977 , 225443840 , 0.887500 , 0.000000, 0.012656, 0.000000
5767168 , 84711104 , 247988224 , 0.920454 , 0.000000, 0.006327, 0.000000
6291456 , 84745999 , 270532608 , 0.906250 , 0.000000, 0.008789, 0.000000
6815744 , 84990473 , 293076992 , 0.903846 , 0.000000, 0.009246, 0.000000
7340032 , 85011810 , 315621376 , 0.919643 , 0.000000, 0.006457, 0.000000
7864320 , 85342423 , 338165760 , 0.916667 , -0.000000, 0.006944, 0.000000
8388608 , 85607799 , 360710144 , 0.910156 , -0.000000, 0.008072, 0.000000
8912896 , 126885607 , 383254528 , 0.922794 , 0.000000, 0.005961, 0.000000
9437184 , 126941784 , 405798912 , 0.930555 , 0.000000, 0.004823, 0.000000
9961472 , 126954700 , 428343296 , 0.914474 , 0.000000, 0.007315, 0.000000
10485760 , 127080789 , 450887680 , 0.903125 , 0.000000, 0.009385, 0.000000
11010048 , 127456470 , 473432064 , 0.907738 , -0.000000, 0.008512, 0.000000
11534336 , 127581308 , 495976448 , 0.911932 , -0.000000, 0.007756, 0.000000
12058624 , 127911673 , 518520832 , 0.913043 , -0.000000, 0.007561, 0.000000
12582912 , 128185942 , 541065216 , 0.916667 , -0.000000, 0.006944, 0.000000
13107200 , 169216027 , 563609600 , 0.917500 , 0.000000, 0.006806, 0.000000
13631488 , 169245845 , 586153984 , 0.927885 , -0.000000, 0.005201, 0.000000
14155776 , 169346713 , 608698368 , 0.928241 , -0.000000, 0.005149, 0.000000
14680064 , 169585265 , 631242752 , 0.928571 , -0.000000, 0.005102, 0.000000
15204352 , 170085021 , 653787136 , 0.931034 , -0.000000, 0.004756, 0.000000
15728640 , 170221929 , 676331520 , 0.941667 , -0.000000, 0.003403, 0.000000
16252928 , 170780983 , 698875904 , 0.943548 , -0.000000, 0.003187, 0.000000
16777216 , 171005106 , 721420288 , 0.937500 , -0.000000, 0.003906, 0.000000
17301504 , 211495095 , 743964672 , 0.945076 , -0.000000, 0.003017, 0.000000
17825792 , 211524989 , 766509056 , 0.944853 , -0.000000, 0.003041, 0.000000
18350080 , 211787362 , 789053440 , 0.946428 , -0.000000, 0.002870, 0.000000
18874368 , 212039576 , 811597824 , 0.946180 , -0.000000, 0.002897, 0.000000
19398656 , 212748107 , 834142208 , 0.944257 , -0.000000, 0.003107, 0.000000
19922944 , 212880573 , 856686592 , 0.957237 , -0.000000, 0.001829, 0.000000
20447232 , 213512060 , 879230976 , 0.959936 , -0.000000, 0.001605, 0.000000
20971520 , 213549221 , 901775360 , 0.962500 , -0.000000, 0.001406, 0.000000
21495808 , 253888118 , 924319744 , 0.955793 , -0.000000, 0.001954, 0.000000
22020096 , 253985054 , 946864128 , 0.958333 , -0.000000, 0.001736, 0.000000
22544384 , 254271122 , 969408512 , 0.957849 , -0.000000, 0.001777, 0.000000
23068672 , 254527149 , 991952896 , 0.946023 , -0.000000, 0.002914, 0.000000
23592960 , 255256641 , 1014497280 , 0.951389 , -0.000000, 0.002363, 0.000000
24117248 , 255358852 , 1037041664 , 0.949728 , -0.000000, 0.002527, 0.000000
24641536 , 256173265 , 1059586048 , 0.952128 , -0.000000, 0.002292, 0.000000
25165824 , 256347285 , 1082130432 , 0.951823 , -0.000000, 0.002321, 0.000000
25690112 , 296323654 , 1104674816 , 0.952806 , -0.000000, 0.002227, 0.000000
26214400 , 296428286 , 1127219200 , 0.956250 , -0.000000, 0.001914, 0.000000
26738688 , 296734029 , 1149763584 , 0.953431 , -0.000000, 0.002169, 0.000000
27262976 , 296975846 , 1172307968 , 0.965144 , -0.000000, 0.001215, 0.000000
27787264 , 297793735 , 1194852352 , 0.970519 , -0.000000, 0.000869, 0.000000
28311552 , 298085400 , 1217396736 , 0.981481 , -0.000000, 0.000343, 0.000000
28835840 , 299122569 , 1239941120 , 0.980682 , -0.000000, 0.000373, 0.000000
29360128 , 299238413 , 1262485504 , 0.979911 , -0.000000, 0.000404, 0.000000
29884416 , 338525177 , 1285029888 , 0.985745 , -0.000000, 0.000203, 0.000000
30408704 , 338657337 , 1307574272 , 0.982759 , -0.000000, 0.000297, 0.000000
30932992 , 339041710 , 1330118656 , 0.985169 , -0.000000, 0.000220, 0.000000
31457280 , 339224245 , 1352663040 , 0.994792 , -0.000000, 0.000027, 0.000000
31981568 , 340107730 , 1375207424 , 0.991803 , -0.000000, 0.000067, 0.000000
32505856 , 340361447 , 1397751808 , 1.000000 , -0.000000, 0.000000, 0.000000
33030144 , 341366491 , 1420296192 , 0.997024 , -0.000000, 0.000009, 0.000000
33554432 , 341416046 , 1442840576 , 0.990234 , -0.000000, 0.000095, 0.000000
